"genotype","mat","media","temp","n","avgLS","StddevLS","medianLS","gompShape","gompRate","gompLogLik","gompAIC","weibShape","weibScale","weibLogLik","weibAIC","delta_LL"
"BY4741","MATa","YPD",30,7572,27.4627575277338,10.1502417162225,27,0.0838324752109333,0.0061713267321749,-28664.3396905031,57332.6793810061,2.93415797697049,30.7559442297749,-28264.0341522815,56532.068304563,400.305538221583
"BY4742","MATalpha","0.05% D",30,4690,27.1756929637527,9.95838246491485,26.5,0.0784815558916481,0.00719078629940358,-17832.1496043429,35668.2992086859,2.91995846531605,30.4436018683897,-17401.2315704532,34806.4631409065,430.918033889709
"BY4742","MATalpha","0.5% D",30,579,27.3177892918826,9.94983322792316,27,0.0931405577528203,0.00507888717033485,-2164.45774673738,4332.91549347476,3.0215216992621,30.5707655861539,-2149.26400640216,4302.52801280432,15.1937403352213
"BY4742","MATalpha","0.1% D",30,338,27.8609467455621,10.7712201019106,27,0.065284529210031,0.00891995965174828,-1318.39437544224,2640.78875088449,2.74413643841703,31.3297836261645,-1274.99478926268,2553.98957852537,43.3995861795606
"tor1","MATalpha","YPD",30,2823,32.1225646475381,11.7373753012512,33,0.082701102850051,0.00392552973136821,-10963.6355805713,21931.2711611426,3.03509207536848,35.9414056403922,-10950.5100394843,21905.0200789687,13.1255410869817
"sir2","MATalpha","YPD",30,1497,14.2077488309953,6.15032226632497,13,0.0770213503587886,0.0305420044765818,-5081.36548992251,10166.730979845,2.35931299989289,15.9959903775469,-4779.15094827044,9562.30189654088,302.214541652066
"tor1","MATa","YPD",30,437,27.3295194508009,10.1383264546301,26,0.0846918450873019,0.00608133437381564,-1655.33139430414,3314.66278860827,2.92377390540195,30.6689017928344,-1625.65497473549,3255.30994947099,29.6764195686421
"sir2","MATa","YPD",30,400,13.1275,4.66536792704893,12,0.150846820220883,0.0170964544902558,-1235.44778841326,2474.89557682651,2.96237383467058,14.6788754252122,-1182.32745171208,2368.65490342416,53.1203367011781
"BY4742","MATalpha","YPD + 10ng/ml cycloheximide",30,120,25.2916666666667,9.91425070021828,25,0.0801475920392051,0.00825281908880239,-452.416105720434,908.832211440868,2.65026768699788,28.2400565789958,-448.279601365422,900.559202730844,4.13650435501171
"BY4742","MATalpha","YPD + 50ng/ml cycloheximide",30,140,24.4428571428571,9.74071882813571,23,0.0680191500028772,0.0115301197930412,-532.029430240538,1068.05886048108,2.65503702018382,27.4666146068301,-514.730563546427,1033.46112709285,17.298866694111
"BY4742","MATalpha","YPD + 100ng/ml cycloheximide",30,139,14.8273381294964,10.2114797984766,14,0.0332613873584486,0.0442552159024618,-503.828839530676,1011.65767906135,1.47522209844838,16.3782586587679,-499.653757144134,1003.30751428827,4.17508238654153
"BY4742","MATalpha","YPD",30,19930,26.2291018564977,9.56510795161818,26,0.0874763084273806,0.00651085331446648,-74535.4046816555,149074.809363311,2.95318726658112,29.3616427612182,-73218.0101624733,146440.020324947,1317.39451918218
"BY4742","MATalpha","3% Gly",30,1219,25.3798195242002,10.7598484142871,24,0.0660119783134023,0.0107486882372435,-4702.41376106993,9408.82752213986,2.49878527766073,28.5825409525,-4600.81825971973,9205.63651943946,101.595501350198
"BY4742","MATalpha","YPD + DMSO",30,120,25.3333333333333,9.29835381954792,25,0.0942591636816314,0.00621299781104641,-443.185543828528,890.371087657056,2.97713614910587,28.3935819149577,-436.096684469549,876.193368939097,7.08885935897933
"BY4742","MATalpha","YPD",25,60,26.45,8.34311854875886,26,0.106864737972044,0.00436646984971311,-216.433686536485,436.867373072971,3.5054762366328,29.3897054043816,-211.717857684549,427.435715369098,4.71582885193646
"BY4742","MATalpha","YPD",20,60,26.0833333333333,10.8413703347161,25.5,0.0816318681814975,0.00718197181031602,-228.41700637283,460.834012745661,2.65109987028597,29.4302977393277,-225.979714011666,455.959428023332,2.43729236116459
"BY4742","MATalpha","YPD + SS20",30,59,16.271186440678,7.38785235106877,17,0.104351549783705,0.0161161035676249,-202.370765680992,408.741531361984,2.38843211691279,18.3950283036102,-199.07414246126,402.148284922519,3.29662321973265
"BY4742","MATalpha","YPD + SS31",30,79,21.5189873417722,10.1411332491374,19,0.0727324699551118,0.0134332686507144,-295.834102020617,595.668204041234,2.27996331619161,24.3397716144893,-291.21185374949,586.423707498981,4.62224827112647
"sir2","MATalpha","3% Gly",30,100,12.47,4.15715277466672,11.5,0.182761403105513,0.0141794236379734,-297.692870962415,599.385741924829,3.14106834755266,13.9227568538568,-283.705622442692,571.411244885384,13.9872485197227
"BY4741","MATa","0.05% D",30,656,28.4161585365854,10.5623115616788,27,0.0772919113833682,0.00647730941350968,-2521.08072685413,5046.16145370826,2.89473734692748,31.8604381111738,-2470.93461324234,4945.86922648467,50.146113611795
"BY4741","MATa","3% Gly",30,200,25.34,8.08649224224692,25,0.109703615238554,0.00471864128693647,-716.07823553984,1436.15647107968,3.42707333437136,28.2071457308058,-700.358799447621,1404.71759889524,15.7194360922184
"BY4742","MATalpha","YPD + DMSO only",30,100,23.14,8.58589399873861,23,0.0990567208101697,0.007336777970952,-362.268299184524,728.536598369049,2.8947471393069,25.9015885003932,-356.501584945229,717.003169890458,5.76671423929554
"BY4742","MATalpha","YPD + 2.5uM compound 144",30,100,22.67,9.27476755133589,20.5,0.0810926264713571,0.0105788644062606,-371.052736884181,746.105473768362,2.6119950768678,25.5323979519946,-361.732888379797,727.465776759595,9.31984850438346
"BY4742","MATalpha","YPD + 5uM compound 144",30,100,24.02,9.41734913053905,23,0.0780795364480332,0.00986057029517148,-374.374081240012,752.748162480024,2.68731158560959,26.9151654077451,-365.828567393984,735.657134787969,8.54551384602735
"BY4742","MATalpha","YPD + 10uM compound 144",30,100,22.63,9.02930694119897,21.5,0.0866555158726791,0.00964525065741053,-368.02107402234,740.04214804468,2.71310867363951,25.5111287555135,-358.376637495122,720.753274990244,9.64443652721809
